part,condition,model,acc_mean,acc_std,ece_mean,lat_mean,depth,n_seeds
adaptive,bpda_pgd10_4,abl_no_detect,0.5166666666666667,,0.1438633218407631,0.512206087509791,100.0,1
adaptive,bpda_pgd10_4,abl_no_fusion,0.49166666666666664,,0.15632259224851927,0.3962285002072652,69.36666870117188,1
adaptive,bpda_pgd10_4,abl_no_purify,0.5,,0.32914517776419716,0.012783187627792358,0.0,1
adaptive,bpda_pgd10_4,abl_no_smooth,0.31666666666666665,,0.16259866400311387,0.38396220008532206,69.36666870117188,1
adaptive,bpda_pgd10_4,cardnet,0.49166666666666664,,0.3207605251421531,0.3962285002072652,69.36666870117188,1
adaptive,bpda_pgd10_8,abl_no_detect,0.44166666666666665,,0.11088698146243889,0.517946602900823,100.0,1
adaptive,bpda_pgd10_8,abl_no_fusion,0.36666666666666664,,0.12952279684444268,0.4310442229111989,83.43333435058594,1
adaptive,bpda_pgd10_8,abl_no_purify,0.2916666666666667,,0.12642372374733288,0.013886749744415283,0.0,1
adaptive,bpda_pgd10_8,abl_no_smooth,0.24166666666666667,,0.0796600597600142,0.41921652952829996,83.43333435058594,1
adaptive,bpda_pgd10_8,cardnet,0.36666666666666664,,0.2010820069039861,0.4310442229111989,83.43333435058594,1
adaptive,oblivious_pgd10_4,abl_no_detect,0.5083333333333333,,0.18371745832264424,0.5323413113753,100.0,1
adaptive,oblivious_pgd10_4,abl_no_fusion,0.525,,0.15385778384904064,0.4060013433297475,70.93333435058594,1
adaptive,oblivious_pgd10_4,abl_no_purify,0.4666666666666667,,0.2965881624569495,0.014310642083485921,0.0,1
adaptive,oblivious_pgd10_4,abl_no_smooth,0.35,,0.170393358108898,0.3928614755471547,70.93333435058594,1
adaptive,oblivious_pgd10_4,cardnet,0.525,,0.35373694549004236,0.4060013433297475,70.93333435058594,1
adaptive,oblivious_pgd10_8,abl_no_detect,0.43333333333333335,,0.1612206730991602,0.5110303123792013,100.0,1
adaptive,oblivious_pgd10_8,abl_no_fusion,0.425,,0.14306424371898174,0.45820940335591637,89.94166564941406,1
adaptive,oblivious_pgd10_8,abl_no_purify,0.2916666666666667,,0.12645911847551664,0.012670465310414632,0.0,1
adaptive,oblivious_pgd10_8,abl_no_smooth,0.24166666666666667,,0.07112181323270002,0.4459161162376404,89.94166564941406,1
adaptive,oblivious_pgd10_8,cardnet,0.425,,0.259815014898777,0.45820940335591637,89.94166564941406,1
adv,autoattack_8,cardnet,0.4666666666666667,,0.2934707873190443,1.8165316422780355,70.24166870117188,1
adv,autoattack_8,pgd_at,0.2916666666666667,,0.24787579302986462,0.0032832781473795575,,1
adv,autoattack_8,rand_smooth,0.36666666666666664,,0.09387088070313133,0.0463875929514567,,1
adv,autoattack_8,trades,0.19166666666666668,,0.1588704012334347,0.0014753123124440512,,1
adv,autoattack_8,undefended,0.0,,0.9765317879617215,0.0014857788880666097,,1
adv,autoattack_8,undefended_vgg,0.0,,0.9890448659658432,0.009550382693608602,,1
adv,clean,abl_no_detect,0.5833333333333334,0.011023963796102501,0.16720495803488625,0.6627431104580561,100.0,3
adv,clean,abl_no_fusion,0.6,0.015023130314433255,0.17621165101105965,0.5004571325249142,68.9013900756836,3
adv,clean,abl_no_purify,0.5861111111111111,0.004811252243246865,0.40582651367617983,0.017200683885150485,0.0,3
adv,clean,abl_no_smooth,0.5819444444444445,0.00867360833110886,0.3904106850528883,0.48415796756744384,68.9013900756836,3
adv,clean,abl_single_teacher,0.6152777777777777,0.020971762320196485,0.4234122243709862,0.5005759898159239,68.9013900756836,3
adv,clean,cardnet,0.6,0.015023130314433255,0.41937047648761006,0.5004571325249142,68.9013900756836,3
adv,clean,pgd_at,0.6722222222222222,0.014632852434517713,0.17681649151361653,0.0013309137688742746,,3
adv,clean,rand_smooth,0.5930555555555556,0.006364688465216421,0.17636628786308903,0.017104127009709678,,3
adv,clean,trades,0.3972222222222222,0.01272937693043288,0.1268366522466143,0.0007743818892372978,,3
adv,clean,undefended,0.9125,0.007216878364870297,0.05650530449218222,0.004406563772095574,,3
adv,clean,undefended_vgg,0.9166666666666666,0.014433756729740664,0.07017137565546568,0.005361149377293057,,3
adv,cw,cardnet,0.5833333333333334,0.06027713773341709,0.40647946399947016,0.540756528377533,76.71333312988281,3
adv,cw,pgd_at,0.4066666666666667,0.020816659994661313,0.1465302726129691,0.0013772940635681152,,3
adv,cw,rand_smooth,0.5733333333333334,0.06429100507328638,0.18934771180152896,0.020997184912363687,,3
adv,cw,trades,0.3466666666666667,0.050332229568471665,0.13302898188432058,0.0008749659856160482,,3
adv,cw,undefended,0.01,0.0,0.8848878739277523,0.0008743079503377278,,3
adv,cw,undefended_vgg,0.0033333333333333335,0.005773502691896258,0.8976038901011151,0.003989451726277669,,3
adv,fgsm_2,cardnet,0.5458333333333334,0.011023963796102501,0.3698031261873742,0.4544860558377372,74.09861246744792,3
adv,fgsm_2,pgd_at,0.5972222222222222,0.004811252243246865,0.13293930201066864,0.0011872599522272746,,3
adv,fgsm_2,rand_smooth,0.5180555555555556,0.020971762320196527,0.12470669709146025,0.0186969131231308,,3
adv,fgsm_2,trades,0.3527777777777778,0.010485881160098263,0.09272430139697259,0.0006936712397469415,,3
adv,fgsm_2,undefended,0.28194444444444444,0.04276334532872405,0.6242812934848998,0.0007855686876508924,,3
adv,fgsm_2,undefended_vgg,0.5652777777777778,0.006364688465216421,0.41497854871882334,0.003469945655928718,,3
adv,fgsm_4,cardnet,0.5027777777777778,0.013393959390267959,0.32971512205484843,0.485093096560902,79.64305623372395,3
adv,fgsm_4,pgd_at,0.5388888888888889,0.006364688465216422,0.11044699855976635,0.0011459837357203166,,3
adv,fgsm_4,rand_smooth,0.4597222222222222,0.006364688465216479,0.0779985239315364,0.017689642641279434,,3
adv,fgsm_4,trades,0.30416666666666664,0.019094065395649343,0.06818823125213384,0.0006845328542921279,,3
