seed,condition,model,auroc,fpr95
0,fgsm_2,undefended,0.6948090195655823,0.8500000238418579
0,fgsm_2,undefended_vgg,0.6686632037162781,0.9333333373069763
0,fgsm_2,pgd_at,0.5285243391990662,0.9375
0,fgsm_2,trades,0.5135590434074402,0.9416666626930237
0,fgsm_2,rand_smooth,0.5239930152893066,0.9375
0,fgsm_2,cardnet,0.4992361068725586,1.0
0,fgsm_4,undefended,0.7177950739860535,0.8291666507720947
0,fgsm_4,undefended_vgg,0.6703993082046509,0.9375
0,fgsm_4,pgd_at,0.553489625453949,0.9125000238418579
0,fgsm_4,trades,0.522899329662323,0.9416666626930237
0,fgsm_4,rand_smooth,0.5475694537162781,0.8999999761581421
0,fgsm_4,cardnet,0.5254514217376709,1.0
0,fgsm_8,undefended,0.7978125214576721,0.6458333134651184
0,fgsm_8,undefended_vgg,0.6980555057525635,0.8791666626930237
0,fgsm_8,pgd_at,0.5877951383590698,0.887499988079071
0,fgsm_8,trades,0.5365798473358154,0.9416666626930237
0,fgsm_8,rand_smooth,0.5693055391311646,0.8708333373069763
0,fgsm_8,cardnet,0.6406424045562744,0.9333333373069763
0,pgd10_2,undefended,0.23347222805023193,1.0
0,pgd10_2,undefended_vgg,0.4789409637451172,1.0
0,pgd10_2,pgd_at,0.5289583206176758,0.9375
0,pgd10_2,trades,0.5137152671813965,0.9416666626930237
0,pgd10_2,rand_smooth,0.5232638716697693,0.9375
0,pgd10_2,cardnet,0.5096701383590698,1.0
0,pgd10_4,undefended,0.06489583849906921,1.0
0,pgd10_4,undefended_vgg,0.2236805558204651,1.0
0,pgd10_4,pgd_at,0.5533333420753479,0.9041666388511658
0,pgd10_4,trades,0.5235590934753418,0.949999988079071
0,pgd10_4,rand_smooth,0.5446875095367432,0.8708333373069763
0,pgd10_4,cardnet,0.5262326002120972,1.0
0,pgd10_8,undefended,0.05182291939854622,1.0
0,pgd10_8,undefended_vgg,0.05965277925133705,1.0
0,pgd10_8,pgd_at,0.5784895420074463,0.8833333253860474
0,pgd10_8,trades,0.5363368391990662,0.9416666626930237
0,pgd10_8,rand_smooth,0.5522395968437195,0.8708333373069763
0,pgd10_8,cardnet,0.6221874952316284,0.9375
0,pgd10_8,abl_no_purify,0.6066319346427917,0.8583333492279053
0,pgd10_8,abl_no_detect,0.5517881512641907,0.887499988079071
0,pgd10_8,abl_no_smooth,0.6066319346427917,0.8583333492279053
0,pgd10_8,abl_no_fusion,0.6066319346427917,0.8583333492279053
0,pgd10_8,abl_single_teacher,0.61677086353302,0.8166666626930237
0,pgd40_8,undefended,0.04805556684732437,1.0
0,pgd40_8,undefended_vgg,0.0041840276680886745,1.0
0,pgd40_8,pgd_at,0.5763020515441895,0.8833333253860474
0,pgd40_8,trades,0.5361632108688354,0.9416666626930237
0,pgd40_8,rand_smooth,0.5455208420753479,0.8958333134651184
