seed,ood_set,model,auroc,fpr95,aupr
0,near_cifar100,undefended,0.8501041531562805,0.4208333194255829,0.8135746121406555
0,near_cifar100,undefended_vgg,0.8313021063804626,0.5666666626930237,0.7811120748519897
0,near_cifar100,pgd_at,0.7216666340827942,0.6958333253860474,0.6726439595222473
0,near_cifar100,trades,0.5602951645851135,0.8999999761581421,0.5355565547943115
0,near_cifar100,rand_smooth,0.6761806011199951,0.7875000238418579,0.6295117735862732
0,near_cifar100,cardnet,0.8024132251739502,0.5208333134651184,0.754435658454895
0,far_mnist,undefended,0.8403992652893066,0.4416666626930237,0.8046904802322388
0,far_mnist,undefended_vgg,0.8132638931274414,0.7749999761581421,0.7814815640449524
0,far_mnist,pgd_at,0.5144096612930298,0.8374999761581421,0.46953994035720825
0,far_mnist,trades,0.4221528172492981,0.8791666626930237,0.41769254207611084
0,far_mnist,rand_smooth,0.707986056804657,0.6291666626930237,0.6256791353225708
0,far_mnist,cardnet,0.9153298139572144,0.22499999403953552,0.8640857934951782
0,far_fmnist,undefended,0.8942186832427979,0.34583333134651184,0.8600307703018188
0,far_fmnist,undefended_vgg,0.8677951097488403,0.4375,0.8326388597488403
0,far_fmnist,pgd_at,0.543298602104187,0.8374999761581421,0.5279498100280762
0,far_fmnist,trades,0.30623263120651245,0.9958333373069763,0.3818427324295044
0,far_fmnist,rand_smooth,0.48809027671813965,0.8666666746139526,0.4670858383178711
0,far_fmnist,cardnet,0.8995485901832581,0.2666666805744171,0.852853536605835
1,near_cifar100,undefended,0.8426215648651123,0.48750001192092896,0.8141806125640869
1,near_cifar100,undefended_vgg,0.8394444584846497,0.6666666865348816,0.8093408346176147
1,near_cifar100,pgd_at,0.727864682674408,0.6958333253860474,0.685614824295044
1,near_cifar100,trades,0.5375520586967468,0.8833333253860474,0.5186185836791992
1,near_cifar100,rand_smooth,0.6417534947395325,0.7916666865348816,0.593578577041626
1,near_cifar100,cardnet,0.8233159184455872,0.5583333373069763,0.7931974530220032
1,far_mnist,undefended,0.8331770300865173,0.4416666626930237,0.7986908555030823
1,far_mnist,undefended_vgg,0.8612847328186035,0.6499999761581421,0.8305772542953491
1,far_mnist,pgd_at,0.4766145944595337,0.8208333253860474,0.44667336344718933
1,far_mnist,trades,0.38923612236976624,0.8958333134651184,0.40335702896118164
1,far_mnist,rand_smooth,0.6313194036483765,0.6666666865348816,0.5567218065261841
1,far_mnist,cardnet,0.928159773349762,0.23749999701976776,0.8856890201568604
1,far_fmnist,undefended,0.8789756894111633,0.36666667461395264,0.8592142462730408
1,far_fmnist,undefended_vgg,0.8774479627609253,0.5458333492279053,0.8541141748428345
1,far_fmnist,pgd_at,0.5243750214576721,0.8583333492279053,0.5087152719497681
1,far_fmnist,trades,0.2868229150772095,0.9791666865348816,0.3736008405685425
1,far_fmnist,rand_smooth,0.44711804389953613,0.8958333134651184,0.439761757850647
1,far_fmnist,cardnet,0.9281424283981323,0.20416666567325592,0.8934603929519653
2,near_cifar100,undefended,0.8493229150772095,0.4208333194255829,0.7824142575263977
2,near_cifar100,undefended_vgg,0.8458681106567383,0.675000011920929,0.8171446919441223
2,near_cifar100,pgd_at,0.6811979413032532,0.7041666507720947,0.6316609382629395
2,near_cifar100,trades,0.5528818964958191,0.9416666626930237,0.5562127828598022
2,near_cifar100,rand_smooth,0.6510069370269775,0.7791666388511658,0.6133044958114624
2,near_cifar100,cardnet,0.8152083158493042,0.5458333492279053,0.7877520322799683
2,far_mnist,undefended,0.8274305462837219,0.46666666865348816,0.7539297342300415
2,far_mnist,undefended_vgg,0.8510590195655823,0.5916666388511658,0.7996969223022461
2,far_mnist,pgd_at,0.4908854365348816,0.7916666865348816,0.4513413906097412
2,far_mnist,trades,0.3947569727897644,0.875,0.40653300285339355
2,far_mnist,rand_smooth,0.6748785376548767,0.6875,0.604954719543457
2,far_mnist,cardnet,0.9254687428474426,0.2958333194255829,0.8932262659072876
2,far_fmnist,undefended,0.8812673687934875,0.3083333373069763,0.8180527687072754
2,far_fmnist,undefended_vgg,0.8745312690734863,0.4749999940395355,0.8424502611160278
2,far_fmnist,pgd_at,0.4913715124130249,0.8333333134651184,0.46643292903900146
2,far_fmnist,trades,0.27130207419395447,0.9750000238418579,0.3680403232574463
2,far_fmnist,rand_smooth,0.44593751430511475,0.8916666507720947,0.4450531005859375
2,far_fmnist,cardnet,0.9114757180213928,0.3583333194255829,0.8827788829803467
