seed,condition,model,n,accuracy,ece,latency_s,mean_conf,part,mean_depth,p_accept,p_defer,p_flag,eot,bpda
0,id_cifar10,rand_smooth,240,0.5875,0.16222860651711626,0.023941356937090555,0.4330596327781677,ood,,,,,,
0,id_cifar10,cardnet,240,0.5958333333333333,0.4122205229165653,0.6002832154432932,0.18361282348632812,ood,64.74166870117188,0.7125,0.24583333333333332,0.041666666666666664,,
0,near_cifar100,undefended,240,0.0,0.8117322818686563,0.0009236405293146769,0.8117322325706482,ood,,,,,,
0,near_cifar100,undefended_vgg,240,0.0,0.9090322181582451,0.004570428530375163,0.9090322256088257,ood,,,,,,
0,near_cifar100,pgd_at,240,0.0,0.33589970227330923,0.0015720993280410767,0.3358997106552124,ood,,,,,,
0,near_cifar100,trades,240,0.0,0.2558491128186385,0.0009255965550740559,0.25584909319877625,ood,,,,,,
0,near_cifar100,rand_smooth,240,0.0,0.3221263867492477,0.02088383734226227,0.3221263885498047,ood,,,,,,
0,near_cifar100,cardnet,240,0.0,0.14964972557500003,0.9438467174768448,0.1496497094631195,ood,137.80833435058594,0.425,0.4875,0.0875,,
0,near_cifar100,abl_no_fusion,240,0.0,0.324320212379098,0.9438467174768448,0.3243202269077301,ood,137.80833435058594,0.9958333333333333,0.004166666666666667,0.0,,
0,near_cifar100,abl_no_smooth,240,0.0,0.15956388218328357,0.920095948378245,0.15956388413906097,ood,137.80833435058594,0.5458333333333333,0.4166666666666667,0.0375,,
0,near_cifar100,abl_single_teacher,240,0.0,0.15514050293713808,0.9418080031871795,0.1551404893398285,ood,137.80833435058594,0.4625,0.45,0.0875,,
0,near_cifar100,abl_no_purify,240,0.0,0.14894515632962185,0.02227533161640167,0.1489451676607132,ood,0.0,0.4041666666666667,0.49166666666666664,0.10416666666666667,,
0,near_cifar100,abl_no_detect,240,0.0,0.32275983629127347,0.8400341103474299,0.32275980710983276,ood,100.0,0.9958333333333333,0.004166666666666667,0.0,,
0,far_mnist,undefended,240,0.0,0.8234174501150846,0.0010948707660039267,0.8234174251556396,ood,,,,,,
0,far_mnist,undefended_vgg,240,0.0,0.9001025723914304,0.0046275794506072995,0.9001025557518005,ood,,,,,,
0,far_mnist,pgd_at,240,0.0,0.4706102718909582,0.0016168326139450074,0.47061026096343994,ood,,,,,,
0,far_mnist,trades,240,0.0,0.2839821253592769,0.000980601708094279,0.28398212790489197,ood,,,,,,
0,far_mnist,rand_smooth,240,0.0,0.30168968060364326,0.024112520615259807,0.30168965458869934,ood,,,,,,
0,far_mnist,cardnet,240,0.0,0.14341623056679964,1.0122669021288553,0.14341622591018677,ood,150.0,0.3458333333333333,0.6,0.05416666666666667,,
0,far_fmnist,undefended,240,0.0,0.7635177548974752,0.0010134617487589518,0.7635177373886108,ood,,,,,,
0,far_fmnist,undefended_vgg,240,0.0,0.8668697859471043,0.005326465765635172,0.8668698072433472,ood,,,,,,
0,far_fmnist,pgd_at,240,0.0,0.4531851711993416,0.0016283959150314331,0.45318514108657837,ood,,,,,,
0,far_fmnist,trades,240,0.0,0.36021320552875596,0.001009976863861084,0.3602132201194763,ood,,,,,,
0,far_fmnist,rand_smooth,240,0.0,0.4231085417171319,0.025105398893356324,0.4231085479259491,ood,,,,,,
0,far_fmnist,cardnet,240,0.0,0.17004256937652829,1.0258269409338634,0.17004255950450897,ood,149.47084045410156,0.7583333333333333,0.19583333333333333,0.04583333333333333,,
1,gaussian_noise_s5,undefended,100,0.12,0.6612783527374267,0.0012993669509887694,0.7689563035964966,corr,,,,,,
1,gaussian_noise_s5,undefended_vgg,100,0.13,0.7073310256004335,0.005402708053588867,0.8373309969902039,corr,,,,,,
1,gaussian_noise_s5,pgd_at,100,0.39,0.1098781868815422,0.0016497731208801269,0.3422565758228302,corr,,,,,,
1,gaussian_noise_s5,trades,100,0.48,0.2492440688610077,0.0010800766944885254,0.23338325321674347,corr,,,,,,
1,gaussian_noise_s5,rand_smooth,100,0.43,0.10500177651643752,0.02346955060958862,0.35528430342674255,corr,,,,,,
1,gaussian_noise_s5,cardnet,100,0.43,0.32132883220911024,0.9626901865005493,0.1086711660027504,corr,150.0,0.0,0.02,0.98,,
1,shot_noise_s5,undefended,100,0.11,0.6429319778084756,0.0008869671821594238,0.752932071685791,corr,,,,,,
1,shot_noise_s5,undefended_vgg,100,0.11,0.7373273086547851,0.0038639140129089356,0.8473273515701294,corr,,,,,,
1,shot_noise_s5,pgd_at,100,0.37,0.12481939464807512,0.0013926172256469728,0.33298465609550476,corr,,,,,,
1,shot_noise_s5,trades,100,0.41,0.20551614314317707,0.0008325767517089844,0.22865420579910278,corr,,,,,,
1,shot_noise_s5,rand_smooth,100,0.43,0.18359997034072878,0.022244901657104493,0.3542453348636627,corr,,,,,,
1,shot_noise_s5,cardnet,100,0.44,0.33152497582137586,1.0017294430732726,0.10847503691911697,corr,150.0,0.0,0.01,0.99,,
1,impulse_noise_s5,undefended,100,0.15,0.6500271874666214,0.0009521389007568359,0.8000272512435913,corr,,,,,,
1,impulse_noise_s5,undefended_vgg,100,0.12,0.7007779237627983,0.004102365970611572,0.820777952671051,corr,,,,,,
1,impulse_noise_s5,pgd_at,100,0.43,0.10644493877887727,0.0015364432334899903,0.33279678225517273,corr,,,,,,
1,impulse_noise_s5,trades,100,0.48,0.25580541878938673,0.0008683061599731445,0.22685475647449493,corr,,,,,,
1,impulse_noise_s5,rand_smooth,100,0.45,0.21482398569583894,0.02155942678451538,0.35592204332351685,corr,,,,,,
1,impulse_noise_s5,cardnet,100,0.46,0.35150035813450814,1.1032471704483033,0.10849963873624802,corr,150.0,0.0,0.02,0.98,,
1,defocus_blur_s5,undefended,100,0.19,0.2923751348257065,0.0017169189453125,0.47972968220710754,corr,,,,,,
1,defocus_blur_s5,undefended_vgg,100,0.16,0.3432782627642155,0.0073111534118652345,0.5024077296257019,corr,,,,,,
1,defocus_blur_s5,pgd_at,100,0.22,0.13344450876116754,0.0028371667861938478,0.3117349445819855,corr,,,,,,
1,defocus_blur_s5,trades,100,0.22,0.09466528087854385,0.001912074089050293,0.28388869762420654,corr,,,,,,
1,defocus_blur_s5,rand_smooth,100,0.18,0.17537088900804518,0.053637802600860596,0.322122186422348,corr,,,,,,
1,defocus_blur_s5,cardnet,100,0.2,0.06729076594114303,1.0338475370407103,0.13736160099506378,corr,147.02000427246094,0.23,0.59,0.18,,
1,glass_blur_s5,undefended,100,0.18,0.4756898230314255,0.0009383606910705566,0.6556897759437561,corr,,,,,,
1,glass_blur_s5,undefended_vgg,100,0.21,0.3377781392633915,0.004056751728057861,0.5477780699729919,corr,,,,,,
1,glass_blur_s5,pgd_at,100,0.19,0.1486003774404526,0.0014394879341125487,0.30280426144599915,corr,,,,,,
1,glass_blur_s5,trades,100,0.27,0.06887228906154631,0.0009768819808959961,0.26883265376091003,corr,,,,,,
1,glass_blur_s5,rand_smooth,100,0.2,0.13736137181520464,0.023271875381469728,0.3069210350513458,corr,,,,,,
1,glass_blur_s5,cardnet,100,0.18,0.042917310744524005,0.9760256409645081,0.13708269596099854,corr,141.6699981689453,0.23,0.58,0.19,,
1,motion_blur_s5,undefended,100,0.15,0.5377182859182358,0.0009605002403259278,0.6877183318138123,corr,,,,,,
1,motion_blur_s5,undefended_vgg,100,0.17,0.4928530797362327,0.004130406379699707,0.662852942943573,corr,,,,,,
1,motion_blur_s5,pgd_at,100,0.23,0.11281435593962669,0.0013974237442016602,0.32547464966773987,corr,,,,,,
1,motion_blur_s5,trades,100,0.24,0.09132741630077362,0.0008763337135314942,0.2768620550632477,corr,,,,,,
1,motion_blur_s5,rand_smooth,100,0.19,0.15177426040172579,0.02164348840713501,0.3278055489063263,corr,,,,,,
1,motion_blur_s5,cardnet,100,0.23,0.08710977256298064,0.9800031352043153,0.14289022982120514,corr,146.8699951171875,0.34,0.44,0.22,,
1,zoom_blur_s5,undefended,100,0.44,0.37769399493932726,0.0012099456787109375,0.8042789697647095,corr,,,,,,
1,zoom_blur_s5,undefended_vgg,100,0.55,0.3909090414643288,0.005455212593078613,0.9284562468528748,corr,,,,,,
1,zoom_blur_s5,pgd_at,100,0.56,0.1857186123728752,0.0016362357139587402,0.3804445266723633,corr,,,,,,
1,zoom_blur_s5,trades,100,0.4,0.15753632962703704,0.0009901809692382812,0.2537470757961273,corr,,,,,,
1,zoom_blur_s5,rand_smooth,100,0.55,0.22296821132302283,0.025290155410766603,0.34083083271980286,corr,,,,,,
1,zoom_blur_s5,cardnet,100,0.57,0.4130701169371605,0.815828263759613,0.1569298803806305,corr,120.44000244140625,0.51,0.42,0.07,,
1,snow_s5,undefended,100,0.43,0.3953673613071442,0.0009273648262023926,0.8253673315048218,corr,,,,,,
1,snow_s5,undefended_vgg,100,0.56,0.348471228480339,0.004155082702636719,0.9084711670875549,corr,,,,,,
1,snow_s5,pgd_at,100,0.3,0.15767488077282907,0.0015989160537719727,0.404557466506958,corr,,,,,,
1,snow_s5,trades,100,0.14,0.21840463191270829,0.0008155679702758789,0.35840460658073425,corr,,,,,,
1,snow_s5,rand_smooth,100,0.24,0.13727626994252207,0.02188502550125122,0.3526821434497833,corr,,,,,,
1,snow_s5,cardnet,100,0.24,0.09466914854943752,0.825793764591217,0.15599794685840607,corr,135.44000244140625,0.51,0.46,0.03,,
1,frost_s5,undefended,100,0.46,0.37983964651823043,0.0010577392578125,0.8398396968841553,corr,,,,,,
1,frost_s5,undefended_vgg,100,0.55,0.36296909928321835,0.005319459438323975,0.9129691123962402,corr,,,,,,
1,frost_s5,pgd_at,100,0.2,0.15323487818241122,0.001515059471130371,0.34773555397987366,corr,,,,,,
1,frost_s5,trades,100,0.12,0.2667260165512562,0.0011424541473388672,0.37639743089675903,corr,,,,,,
1,frost_s5,rand_smooth,100,0.21,0.15799751788377764,0.02381659746170044,0.3542943298816681,corr,,,,,,
1,frost_s5,cardnet,100,0.21,0.06265252828598024,0.8328217959403992,0.15762244164943695,corr,138.8000030517578,0.57,0.4,0.03,,
1,fog_s5,undefended,100,0.13,0.7001198908686638,0.0009051227569580078,0.8301198482513428,corr,,,,,,
1,fog_s5,undefended_vgg,100,0.13,0.7629902216792106,0.003926231861114502,0.8929901719093323,corr,,,,,,
1,fog_s5,pgd_at,100,0.18,0.0493163289129734,0.0014832568168640136,0.22768311202526093,corr,,,,,,
1,fog_s5,trades,100,0.16,0.04354543536901476,0.0008270359039306641,0.19129924476146698,corr,,,,,,
1,fog_s5,rand_smooth,100,0.16,0.0695140065252781,0.02227553367614746,0.22361049056053162,corr,,,,,,
1,fog_s5,cardnet,100,0.16,0.03295537732541562,0.8963555169105529,0.12704461812973022,corr,149.66000366210938,0.04,0.61,0.35,,
1,brightness_s5,undefended,100,0.71,0.23608252435922628,0.0010201478004455567,0.9184562563896179,corr,,,,,,
1,brightness_s5,undefended_vgg,100,0.74,0.2453241527080536,0.004307775497436523,0.9420572519302368,corr,,,,,,
1,brightness_s5,pgd_at,100,0.27,0.12678194269537926,0.0015282940864562989,0.37463048100471497,corr,,,,,,
1,brightness_s5,trades,100,0.19,0.14708813950419422,0.0009193587303161621,0.3323560357093811,corr,,,,,,
1,brightness_s5,rand_smooth,100,0.28,0.1122434628009796,0.020446393489837646,0.36187466979026794,corr,,,,,,
1,brightness_s5,cardnet,100,0.27,0.1105475729703903,0.7166670203208924,0.159452423453331,corr,108.05000305175781,0.51,0.43,0.06,,
1,contrast_s5,undefended,100,0.17,0.3863856947422028,0.0009074664115905762,0.5538181662559509,corr,,,,,,
1,contrast_s5,undefended_vgg,100,0.12,0.35686409160494803,0.004245917797088623,0.4768640398979187,corr,,,,,,
1,contrast_s5,pgd_at,100,0.14,0.15957645282149313,0.0015357804298400878,0.29957646131515503,corr,,,,,,
1,contrast_s5,trades,100,0.13,0.1635956773161888,0.0009030008316040039,0.29042547941207886,corr,,,,,,
1,contrast_s5,rand_smooth,100,0.11,0.20556930363178255,0.02218151092529297,0.31556931138038635,corr,,,,,,
1,contrast_s5,cardnet,100,0.12,0.06207348108291626,0.9042665910720825,0.13563942909240723,corr,150.0,0.13,0.76,0.11,,
1,elastic_transform_s5,undefended,100,0.13,0.7389413574337959,0.0008233022689819336,0.8636229038238525,corr,,,,,,
1,elastic_transform_s5,undefended_vgg,100,0.15,0.7259310901165008,0.0038036084175109863,0.8617492914199829,corr,,,,,,
